Date,Revenue,Net_Income,Total_Equity,Operating_CF,CapEx,Ticker
2019-04-01,3539,666,8201.0,800.0,-118.0,AMAT
2019-07-01,3562,571,8116.0,787.0,-93.0,AMAT
2019-10-01,3754,698,8214.0,826.0,-97.0,AMAT
2020-01-01,4162,892,8660.0,987.0,-102.0,AMAT
2020-04-01,3957,755,9024.0,635.0,-71.0,AMAT
2020-07-01,4395,841,9569.0,867.0,-87.0,AMAT
2020-10-01,4688,1131,10578.0,1315.0,-162.0,AMAT
2021-01-01,5162,1130,11473.0,1421.0,-121.0,AMAT
2021-04-01,5582,1330,11993.0,1187.0,-204.0,AMAT
2021-07-01,6196,1716,12060.0,1686.0,-137.0,AMAT
2021-10-01,6123,1712,12247.0,1148.0,-206.0,AMAT
2022-01-01,6271,1792,11890.0,2658.0,-144.0,AMAT
2022-04-01,6245,1536,11579.0,415.0,-210.0,AMAT
2022-07-01,6520,1606,12070.0,1469.0,-210.0,AMAT
2022-10-01,6749,1591,12194.0,857.0,-223.0,AMAT
2023-01-01,6739,1717,13420.0,2270.0,-287.0,AMAT
2023-04-01,6630,1575,14129.0,2292.0,-255.0,AMAT
2023-07-01,6425,1560,15093.0,2583.0,-255.0,AMAT
2023-10-01,6723,2004,16349.0,1555.0,-309.0,AMAT
2024-01-01,6707,2019,17429.0,2325.0,-229.0,AMAT
2024-04-01,6646,1722,18199.0,1392.0,-257.0,AMAT
2024-07-01,6778,1705,18840.0,2385.0,-297.0,AMAT
2024-10-01,7045,1731,19001.0,2575.0,-407.0,AMAT
2025-01-01,7166,1185,18625.0,925.0,-381.0,AMAT
2025-04-01,7100,2137,18961.0,1571.0,-510.0,AMAT
2025-07-01,7302,1779,19504.0,2634.0,-584.0,AMAT
2025-10-01,6800,1897,20415.0,2828.0,-785.0,AMAT
2026-01-01,7012,2026,21717.0,1686.0,-646.0,AMAT
1996-06-01,455,-34.7,2071.0,-25.5,-110.0,AMD
1996-09-01,457,-38.4,2037.0,-26.1,-142.0,AMD
1996-12-01,497,-21.2,2022.0,149.0,-136.0,AMD
1997-03-01,552,13,2044.0,115.0,-150.0,AMD
1997-06-01,595,10,2091.0,63.2,-160.0,AMD
1997-09-01,597,-31.7,2044.0,23.6,-135.0,AMD
1997-12-01,613,-12.3,2030.0,197.0,-196.0,AMD
1998-03-01,541,-62.7,1966.0,-17.8,-179.0,AMD
1998-06-01,527,-64.6,1918.0,89.4,-305.0,AMD
1998-09-01,686,1,1930.0,-40.9,-301.0,AMD
1998-12-01,789,22.3,2005.0,111.0,-83.2,AMD
1999-03-01,632,-128,1874.0,21.9,-197.0,AMD
1999-06-01,595,79.9,1962.0,-39.6,307.0,AMD
1999-09-01,662,-106,1919.0,-61.7,-147.0,AMD
1999-12-01,969,65.1,1979.0,339.0,-124.0,AMD
2000-03-01,1092,189,2198.0,387.0,-120.0,AMD
2000-06-01,1170,207,2443.0,281.0,-160.0,AMD
2000-09-01,1207,409,2901.0,287.0,90.3,AMD
2000-12-01,1175,178,3172.0,251.0,-228.0,AMD
2001-03-01,1189,125,3277.0,147.0,-162.0,AMD
2001-06-01,985,17.4,3800.0,-164.0,-215.0,AMD
2001-09-01,766,-187,3631.0,73.2,-163.0,AMD
2001-12-01,952,-15.8,3555.0,112.0,-137.0,AMD
2002-03-01,902,-9.2,3510.0,211.0,-199.0,AMD
2002-06-01,600,-185,3512.0,-108.0,-170.0,AMD
2002-09-01,508,-254,3241.0,-93.6,-193.0,AMD
2002-12-01,686,-855,2467.0,-98.1,-135.0,AMD
2003-03-01,715,-146,2362.0,-78.7,-178.0,AMD
2003-06-01,645,-140,2283.0,-14.3,-103.0,AMD
2003-09-01,954,-31.2,2994.0,0.0,-99.7,AMD
2003-12-01,1206,43.2,3156.0,389.0,-160.0,AMD
2004-03-01,1236,45.1,3167.0,220.0,-196.0,AMD
2004-06-01,1262,32.2,3238.0,240.0,-360.0,AMD
2004-09-01,1239,43.8,3371.0,263.0,-390.0,AMD
2004-12-01,1264,-30,3851.0,362.0,-461.0,AMD
2005-03-01,1227,-17.4,3723.0,251.0,-518.0,AMD
2005-06-01,1260,11.3,3653.0,265.0,-298.0,AMD
2005-09-01,1523,76,3751.0,429.0,-361.0,AMD
2005-12-01,1838,95.6,3587.0,537.0,-327.0,AMD
2006-03-01,1332,185,4955.0,566.0,-308.0,AMD
